"Dates"	"Value"	"Modif"
2006-01-20	551.712593940785	"NO"
2006-01-21	512.035014327042	"NO"
2006-01-22	196.739092893656	"NO"
2006-01-23	497.036407620243	"NO"
2006-01-24	470.741127687696	"NO"
2006-01-25	424.601375916266	"SI"
2006-01-26	455.580979668917	"NO"
2006-01-27	350.122580663267	"NO"
2006-01-28	498.823065081903	"NO"
2006-01-29	241.394339261109	"NO"
2006-01-30	494.086873126929	"NO"
2006-01-31	464.03027360534	"NO"
2006-02-01	239.682826568988	"NO"
2006-02-02	226.374534181837	"NO"
2006-02-03	258.272911646997	"NO"
2006-02-04	321.697779176114	"NO"
2006-02-05	308.47957707591	"NO"
2006-02-06	375.767075116371	"NO"
2006-02-07	485.441898201602	"NO"
2006-02-08	521.706495981424	"NO"
2006-02-09	536.970770243229	"NO"
2006-02-10	492.266893579621	"NO"
2006-02-11	440.302945417926	"NO"
2006-02-12	434.21031301997	"NO"
2006-02-13	499.124675138187	"NO"
2006-02-14	475.315142840789	"NO"
2006-02-15	522.717905541031	"NO"
2006-02-16	577.43754597311	"NO"
2006-02-17	553.608456275663	"NO"
2006-02-18	518.918134107075	"NO"
2006-02-19	559.530021499113	"NO"
2006-02-20	589.478075966077	"NO"
2006-02-21	579.855533149548	"NO"
2006-02-22	581.016719716181	"NO"
2006-02-23	553.217399771526	"NO"
2006-02-24	572.420731462693	"NO"
2006-02-25	540.842839064636	"NO"
2006-02-26	432.777944234441	"NO"
2006-02-27	342.558617204403	"NO"
2006-02-28	441.727458565427	"NO"
2006-03-01	504.650355061691	"NO"
2006-03-02	461.637605614888	"NO"
2006-03-03	286.576331904422	"NO"
2006-03-04	331.152900552468	"NO"
2006-03-05	412.577659836945	"NO"
2006-03-06	244.03918891304	"NO"
2006-03-07	255.547211117797	"NO"
2006-03-08	296.575278443975	"NO"
2006-03-09	411.53131980332	"NO"
2006-03-10	482.373552308653	"NO"
2006-03-11	531.144962119653	"NO"
2006-03-12	554.063080084124	"NO"
2006-03-13	558.460397352194	"NO"
2006-03-14	573.970463601946	"NO"
2006-03-15	388.909243908218	"NO"
2006-03-16	452.573855833227	"NO"
2006-03-17	412.152365703993	"NO"
2006-03-18	360.481545316838	"NO"
2006-03-19	368.323787274138	"NO"
2006-03-20	487.978512468064	"NO"
2006-03-21	383.977638867143	"NO"
2006-03-22	235.071952505028	"NO"
2006-03-23	309.991024396239	"NO"
2006-03-24	269.18926462399	"NO"
2006-03-25	314.263436746377	"NO"
2006-03-26	232.300681959322	"NO"
2006-03-27	296.048232299408	"NO"
2006-03-28	404.6641574522	"NO"
2006-03-29	416.085570802861	"NO"
2006-03-30	281.668936969006	"NO"
2006-03-31	382.782320226747	"NO"
2006-04-01	338.058135880052	"NO"
2006-04-02	364.354183448356	"NO"
2006-04-03	271.008087452728	"NO"
2006-04-04	424.343534253051	"NO"
2006-04-05	278.674807802982	"NO"
2006-04-06	323.573995811795	"NO"
